message_id,channel_name,image_category,confidence_score
10,CheMed,other,0.0
11,CheMed,other,0.4272933602333069
13,CheMed,other,0.5038560032844543
14,CheMed,other,0.0
15,CheMed,other,0.0
17,CheMed,product_display,0.5259650349617004
18,CheMed,other,0.0
19,CheMed,lifestyle,0.9401442408561707
2,CheMed,product_display,0.38718315958976746
20,CheMed,lifestyle,0.9401442408561707
21,CheMed,other,0.2525572180747986
22,CheMed,other,0.2775057554244995
23,CheMed,other,0.6106981039047241
25,CheMed,lifestyle,0.8613102436065674
26,CheMed,promotional,0.8275557160377502
27,CheMed,other,0.0
29,CheMed,lifestyle,0.6185224652290344
3,CheMed,other,0.0
30,CheMed,lifestyle,0.4139040410518646
31,CheMed,product_display,0.5125073790550232
32,CheMed,lifestyle,0.5881935954093933
33,CheMed,other,0.6712217926979065
34,CheMed,other,0.0
38,CheMed,other,0.0
39,CheMed,other,0.9113694429397583
4,CheMed,other,0.0
40,CheMed,lifestyle,0.7191462516784668
41,CheMed,lifestyle,0.4210352897644043
43,CheMed,lifestyle,0.8564761877059937
44,CheMed,lifestyle,0.9386716485023499
45,CheMed,other,0.6319932341575623
46,CheMed,lifestyle,0.8272138833999634
48,CheMed,other,0.0
49,CheMed,other,0.6801517605781555
50,CheMed,other,0.2916097939014435
52,CheMed,lifestyle,0.7039297819137573
53,CheMed,lifestyle,0.573768675327301
55,CheMed,other,0.3071289360523224
56,CheMed,lifestyle,0.8329589366912842
57,CheMed,lifestyle,0.8896958231925964
58,CheMed,product_display,0.41152605414390564
59,CheMed,product_display,0.2866169214248657
60,CheMed,other,0.0
64,CheMed,lifestyle,0.6864551305770874
67,CheMed,other,0.5792264938354492
70,CheMed,lifestyle,0.9247003793716431
71,CheMed,lifestyle,0.8835617899894714
74,CheMed,other,0.0
75,CheMed,lifestyle,0.8353008031845093
76,CheMed,lifestyle,0.8694230914115906
77,CheMed,product_display,0.9558240175247192
78,CheMed,lifestyle,0.7698584198951721
79,CheMed,other,0.0
80,CheMed,promotional,0.9279417395591736
81,CheMed,product_display,0.8817967176437378
82,CheMed,product_display,0.8991734981536865
85,CheMed,other,0.0
86,CheMed,lifestyle,0.9013166427612305
87,CheMed,other,0.2785610556602478
88,CheMed,other,0.0
9,CheMed,product_display,0.38718315958976746
90,CheMed,other,0.30780065059661865
91,CheMed,other,0.0
92,CheMed,other,0.0
93,CheMed,lifestyle,0.9076734185218811
94,CheMed,promotional,0.7408690452575684
95,CheMed,lifestyle,0.8684405088424683
96,CheMed,product_display,0.3260037302970886
97,CheMed,other,0.0
22639,Lobelia,product_display,0.4841199517250061
22640,Lobelia,product_display,0.807584285736084
22641,Lobelia,other,0.4579499363899231
22642,Lobelia,other,0.4999709129333496
22643,Lobelia,other,0.3571457266807556
22644,Lobelia,other,0.31957945227622986
22645,Lobelia,lifestyle,0.6241411566734314
22646,Lobelia,lifestyle,0.6789199113845825
22647,Lobelia,other,0.0
22648,Lobelia,product_display,0.655238926410675
22649,Lobelia,product_display,0.8551762104034424
22650,Lobelia,other,0.3222518265247345
22651,Lobelia,other,0.0
22652,Lobelia,other,0.25304096937179565
22653,Lobelia,product_display,0.807584285736084
22654,Lobelia,other,0.31957945227622986
22655,Lobelia,lifestyle,0.6241411566734314
22656,Lobelia,lifestyle,0.6789199113845825
22657,Lobelia,other,0.0
22658,Lobelia,product_display,0.655238926410675
22659,Lobelia,product_display,0.8551762104034424
22660,Lobelia,other,0.3222518265247345
22661,Lobelia,other,0.25304096937179565
22662,Lobelia,other,0.2700817584991455
22663,Lobelia,other,0.0
22664,Lobelia,other,0.31957945227622986
22665,Lobelia,other,0.0
22666,Lobelia,other,0.0
22667,Lobelia,other,0.4579499363899231
22668,Lobelia,other,0.4999709129333496
22669,Lobelia,other,0.3571457266807556
22670,Lobelia,other,0.0
22671,Lobelia,product_display,0.5191170573234558
22672,Lobelia,other,0.0
22673,Lobelia,product_display,0.5016950964927673
22674,Lobelia,other,0.0
22675,Lobelia,other,0.0
22676,Lobelia,product_display,0.5251997113227844
22677,Lobelia,other,0.0
22678,Lobelia,other,0.0
22679,Lobelia,product_display,0.7991389632225037
22680,Lobelia,other,0.0
22681,Lobelia,product_display,0.269523561000824
